読み,都道府県名,県庁所在地,県庁漢字
ほっかいどう,北海道,さっぽろ,札幌
あおもり,青森,あおもり,青森
いわて,岩手,もりおか,盛岡
みやぎ,宮城,せんだい,仙台
あきた,秋田,あきた,秋田
やまがた,山形,やまがた,山形
ふくしま,福島,ふくしま,福島
いばらき,茨城,つくば,筑波
とちぎ,栃木,うつのみや,宇都宮
ぐんま,群馬,まえばし,前橋
さいたま,埼玉,さいたま,埼玉
ちば,千葉,ちば,千葉
とうきょう,東京,とうきょう,東京
かながわ,神奈川,よこはま,横浜
にいがた,新潟,にいがた,新潟
とやま,富山,とやま,富山
いしかわ,石川,かなざわ,金沢
ふくい,福井,ふくい,福井
やまなし,山梨,こうふ,甲府
ながの,長野,ながの,長野
ぎふ,岐阜,ぎふ,岐阜
しずおか,静岡,しずおか,静岡
あいち,愛知,なごや,名古屋
みえ,三重,つ,津
しが,滋賀,おおつ,大津
きょうと,京都,きょうと,京都
おおさか,大阪,おおさか,大阪
ひょうご,兵庫,こうべ,神戸
なら,奈良,なら,奈良
わかやま,和歌山,わかやま,和歌山
とっとり,鳥取,とっとり,鳥取
しまね,島根,まつえ,松江
おかやま,岡山,おかやま,岡山
ひろしま,広島,ひろしま,広島
やまぐち,山口,やまぐち,山口
とくしま,徳島,とくしま,徳島
かがわ,香川,たかまつ,高松
えひめ,愛媛,まつやま,松山
こうち,高知,こうち,高知
ふくおか,福岡,ふくおか,福岡
さが,佐賀,さが,佐賀
ながさき,長崎,ながさき,長崎
くまもと,熊本,くまもと,熊本
おおいた,大分,おおいた,大分
みやざき,宮崎,みやざき,宮崎
かごしま,鹿児島,かごしま,鹿児島
おきなわ,沖縄,なは,那覇
